,index,expt_id,group_id,network_error_repeat,participant_id,participation_duration,response_correct,response_mode,response_name,response_rt,response_target,response_type,response_value,session_id,session_start_time,stimuli_presented,trial_duration,trial_num,trial_template,task,sub_id,exp,Correct,Shorter,Length
6799,19630,67ca029ac8e84b59170a9911,EXP9a_JF,0,046d32d8012805dd83ead5892469dcf71b4dace59f8f77d059ec8f1f6c97c69b,2915.107614,False,keypress,EXP9a_testRsp_rv,220,[],choice-response,Add,682d85b98cfb0070d530a7a2,2025-05-21 03:50:17-04:00,speech6,908,87,DiscriminationTrials_rv,DiscriminationTrials,046d3,EXP9a,0,0,6
6800,19631,67ca029ac8e84b59170a9911,EXP9a_JF,0,046d32d8012805dd83ead5892469dcf71b4dace59f8f77d059ec8f1f6c97c69b,2915.107614,False,keypress,EXP9a_testRsp_rv,214,[],choice-response,Add,682d85b98cfb0070d530a7a2,2025-05-21 03:50:17-04:00,speech6,907,88,DiscriminationTrials_rv,DiscriminationTrials,046d3,EXP9a,0,0,6
6801,19632,67ca029ac8e84b59170a9911,EXP9a_JF,0,046d32d8012805dd83ead5892469dcf71b4dace59f8f77d059ec8f1f6c97c69b,2915.107614,False,keypress,EXP9a_testRsp_rv,305,[],choice-response,Add,682d85b98cfb0070d530a7a2,2025-05-21 03:50:17-04:00,speech3,926,89,DiscriminationTrials_rv,DiscriminationTrials,046d3,EXP9a,0,0,3
6802,19633,67ca029ac8e84b59170a9911,EXP9a_JF,0,046d32d8012805dd83ead5892469dcf71b4dace59f8f77d059ec8f1f6c97c69b,2915.107614,False,keypress,EXP9a_testRsp_rv,321,[],choice-response,Add,682d85b98cfb0070d530a7a2,2025-05-21 03:50:17-04:00,speech1,912,90,DiscriminationTrials_rv,DiscriminationTrials,046d3,EXP9a,0,0,1
6803,19634,67ca029ac8e84b59170a9911,EXP9a_JF,0,046d32d8012805dd83ead5892469dcf71b4dace59f8f77d059ec8f1f6c97c69b,2915.107614,False,keypress,EXP9a_testRsp_rv,924,[],choice-response,At,682d85b98cfb0070d530a7a2,2025-05-21 03:50:17-04:00,speech4,1578,91,DiscriminationTrials_rv,DiscriminationTrials,046d3,EXP9a,0,1,4
6804,19635,67ca029ac8e84b59170a9911,EXP9a_JF,0,046d32d8012805dd83ead5892469dcf71b4dace59f8f77d059ec8f1f6c97c69b,2915.107614,False,keypress,EXP9a_testRsp_rv,585,[],choice-response,At,682d85b98cfb0070d530a7a2,2025-05-21 03:50:17-04:00,speech2,1178,92,DiscriminationTrials_rv,DiscriminationTrials,046d3,EXP9a,0,1,2
6805,19636,67ca029ac8e84b59170a9911,EXP9a_JF,0,046d32d8012805dd83ead5892469dcf71b4dace59f8f77d059ec8f1f6c97c69b,2915.107614,False,keypress,EXP9a_testRsp_rv,474,[],choice-response,Add,682d85b98cfb0070d530a7a2,2025-05-21 03:50:17-04:00,speech8,1204,93,DiscriminationTrials_rv,DiscriminationTrials,046d3,EXP9a,0,0,8
6806,19637,67ca029ac8e84b59170a9911,EXP9a_JF,0,046d32d8012805dd83ead5892469dcf71b4dace59f8f77d059ec8f1f6c97c69b,2915.107614,False,keypress,EXP9a_testRsp_rv,383,[],choice-response,Add,682d85b98cfb0070d530a7a2,2025-05-21 03:50:17-04:00,speech5,1044,94,DiscriminationTrials_rv,DiscriminationTrials,046d3,EXP9a,0,0,5
6807,19638,67ca029ac8e84b59170a9911,EXP9a_JF,0,046d32d8012805dd83ead5892469dcf71b4dace59f8f77d059ec8f1f6c97c69b,2915.107614,False,keypress,EXP9a_testRsp_rv,271,[],choice-response,Add,682d85b98cfb0070d530a7a2,2025-05-21 03:50:17-04:00,speech7,957,95,DiscriminationTrials_rv,DiscriminationTrials,046d3,EXP9a,0,0,7
6808,19639,67ca029ac8e84b59170a9911,EXP9a_JF,0,046d32d8012805dd83ead5892469dcf71b4dace59f8f77d059ec8f1f6c97c69b,2915.107614,False,keypress,EXP9a_testRsp_rv,268,[],choice-response,Add,682d85b98cfb0070d530a7a2,2025-05-21 03:50:17-04:00,speech3,892,96,DiscriminationTrials_rv,DiscriminationTrials,046d3,EXP9a,0,0,3
6809,19640,67ca029ac8e84b59170a9911,EXP9a_JF,0,046d32d8012805dd83ead5892469dcf71b4dace59f8f77d059ec8f1f6c97c69b,2915.107614,False,keypress,EXP9a_testRsp_rv,278,[],choice-response,Add,682d85b98cfb0070d530a7a2,2025-05-21 03:50:17-04:00,speech7,985,97,DiscriminationTrials_rv,DiscriminationTrials,046d3,EXP9a,0,0,7
6810,19641,67ca029ac8e84b59170a9911,EXP9a_JF,0,046d32d8012805dd83ead5892469dcf71b4dace59f8f77d059ec8f1f6c97c69b,2915.107614,False,keypress,EXP9a_testRsp_rv,276,[],choice-response,Add,682d85b98cfb0070d530a7a2,2025-05-21 03:50:17-04:00,speech4,913,98,DiscriminationTrials_rv,DiscriminationTrials,046d3,EXP9a,0,0,4
