subject,Music,Early.Shortdelay,Ontime.Shortdelay,Late.Shortdelay,Early.Mediumdelay,Ontime.Mediumdelay,Late.Mediumdelay,Early.Longdelay,Ontime.Longdelay,Late.Longdelay,Early ,Ontime,Late ,ShortDelay,MediumDelay,LongDelay
s31,5,382.7590414,294.8409092,291.6577215,303.6734779,300.7740443,300,300.6754084,300.27428,304.2803126,329.0359759,298.6297445,298.6460114,323.0858907,301.4825074,301.7433337
s32,8,346.0170028,304.3419297,302.3096224,303.2466053,302.8366834,300,300.988795,303.1995554,306.9045978,316.750801,303.4593895,303.0714067,317.556185,302.0277629,303.6976494
s33,17,285.7818775,224.5967031,232.4757052,296.3030779,291.9674068,290.9438868,289.7588071,284.3938875,289.7588071,290.6145875,266.9859992,271.0594664,247.6180953,293.0714572,287.9705006
s34,0,328.0692316,299.5078687,290.6760339,300.2204012,298.3078086,296.4831008,298.4254675,300.2204012,296.0911517,308.9050334,299.3453595,294.4167621,306.0843781,298.3371035,298.2456735
s35,8,362.3584858,301.3560281,293.2106469,299.8039737,300.8796899,298.375735,304.5021577,303.1594536,299.1928259,322.2215391,301.7983905,296.9264026,318.9750536,299.6864662,302.2848124
s36,1,328.8085333,308.7033472,307.6665155,319.3144446,313.6213196,316.9629326,318.2720312,321.2983492,315.4654725,322.1316697,314.5410053,313.3649735,315.0594654,316.6328989,318.3452843
s37,13,344.256009,263.2328462,275.4598776,298.158188,291.3095257,292.0979965,293.6338651,289.3072292,291.3640413,312.0160207,281.2832004,286.3073051,294.3162443,293.8552367,291.4350452
s38,2,318.4664811,294.590651,289.8405152,292.0332387,288.3247512,289.7659941,289.6382327,292.6510721,291.6122859,300.0459842,291.8554914,290.4062651,300.9658824,290.041328,291.3005303
s39,14,328.4203125,301.8391038,298.7634552,306.0197069,302.5376314,299.2738525,303.4909001,302.7733138,300.6027819,312.6436398,302.3833497,299.5466965,309.6742905,302.6103969,302.2889986
s40,15,365.1192188,281.1223402,241.8389608,288.1946467,294.3436392,286.4438231,288.5007675,292.0903022,292.9217407,313.938211,289.1854272,273.7348415,296.0268399,289.660703,291.1709368
s41,7,379.7819191,323.8887238,294.7494339,332.7718958,329.0562075,297.271531,298.9622287,305.7426642,312.8137428,337.1720145,319.5625318,301.6115693,332.8066923,319.6998781,305.8395453
s42,10,329.1666667,319.1452479,304.9108185,334.0066483,360.5857129,334.0331771,311.7854296,302.0463727,307.4483358,324.9862482,327.2591112,315.4641104,317.740911,342.8751794,307.0933794
s43,7,313.3969822,296.43351,289.7689945,297.7827201,295.1087006,295.929724,298.0249752,295.7258509,296.2483181,303.0682258,295.7560205,293.9823455,299.8664956,296.2737149,296.6663814
s44,2,347.7590979,300,300.7396041,306.8088652,306.1825187,307.2577826,302.4788135,300.582233,301.7211261,319.0155922,302.2549172,303.2395043,316.166234,306.7497222,301.5940575
s45,28,441.2437375,301.1463619,268.3328078,300.7928578,303.1060662,299.2799096,299.1984916,302.8366834,299.0391454,347.0783623,302.3630371,288.8839543,336.9076357,301.0596112,300.3581068
s46,0,429.7788028,302.8024903,290.9437398,305.7411776,302.1484412,303.5832445,303.235613,299.7084923,301.4233858,346.2518645,301.5531412,298.6501234,341.175011,303.8242878,301.4558304
s47,30,304.0588037,267.9396284,291.3148352,305.9553384,299.0257618,292.2906194,305.1533367,302.7803686,304.5717473,305.0558263,289.9152529,296.0590673,287.7710891,299.0905732,304.1684842
s48,11,347.0897094,297.755581,293.0135133,298.490125,298.1404135,299.0532081,301.9390389,297.6754966,299.5064712,315.8396244,297.8571637,297.1910642,312.6196012,298.5612489,299.7070022
,5,,,,,,,,,,,,,,,
