"","participant_id","sub_id","exp","Onset","Length","Shorter","Correct","rLength","fOnset","Explabel","fOnsetE"
"53","4f00adbe6ea08f7e8f76291d0ede24727cfda3061512742b6a355648e53e0cf5","4f00a","EXP10b","early",4,0,0,-0.218215062975111,"early","EXP10b","early"
"54","4f00adbe6ea08f7e8f76291d0ede24727cfda3061512742b6a355648e53e0cf5","4f00a","EXP10b","late",7,1,0,1.09107531487555,"late","EXP10b","late"
"55","4f00adbe6ea08f7e8f76291d0ede24727cfda3061512742b6a355648e53e0cf5","4f00a","EXP10b","ontime",8,1,0,1.52750544082578,"ontime","EXP10b","ontime"
"56","4f00adbe6ea08f7e8f76291d0ede24727cfda3061512742b6a355648e53e0cf5","4f00a","EXP10b","ontime",5,0,0,0.218215062975111,"ontime","EXP10b","ontime"
"57","4f00adbe6ea08f7e8f76291d0ede24727cfda3061512742b6a355648e53e0cf5","4f00a","EXP10b","early",3,1,0,-0.654645188925333,"early","EXP10b","early"
"58","4f00adbe6ea08f7e8f76291d0ede24727cfda3061512742b6a355648e53e0cf5","4f00a","EXP10b","late",3,1,0,-0.654645188925333,"late","EXP10b","late"
"59","4f00adbe6ea08f7e8f76291d0ede24727cfda3061512742b6a355648e53e0cf5","4f00a","EXP10b","early",7,0,0,1.09107531487555,"early","EXP10b","early"
"60","4f00adbe6ea08f7e8f76291d0ede24727cfda3061512742b6a355648e53e0cf5","4f00a","EXP10b","ontime",4,0,0,-0.218215062975111,"ontime","EXP10b","ontime"
"61","4f00adbe6ea08f7e8f76291d0ede24727cfda3061512742b6a355648e53e0cf5","4f00a","EXP10b","early",6,0,0,0.654645188925333,"early","EXP10b","early"
"62","4f00adbe6ea08f7e8f76291d0ede24727cfda3061512742b6a355648e53e0cf5","4f00a","EXP10b","early",1,1,0,-1.52750544082578,"early","EXP10b","early"
"63","4f00adbe6ea08f7e8f76291d0ede24727cfda3061512742b6a355648e53e0cf5","4f00a","EXP10b","late",5,0,0,0.218215062975111,"late","EXP10b","late"
"64","4f00adbe6ea08f7e8f76291d0ede24727cfda3061512742b6a355648e53e0cf5","4f00a","EXP10b","ontime",3,0,0,-0.654645188925333,"ontime","EXP10b","ontime"
"65","4f00adbe6ea08f7e8f76291d0ede24727cfda3061512742b6a355648e53e0cf5","4f00a","EXP10b","late",6,0,0,0.654645188925333,"late","EXP10b","late"
"66","4f00adbe6ea08f7e8f76291d0ede24727cfda3061512742b6a355648e53e0cf5","4f00a","EXP10b","late",8,0,0,1.52750544082578,"late","EXP10b","late"
"67","4f00adbe6ea08f7e8f76291d0ede24727cfda3061512742b6a355648e53e0cf5","4f00a","EXP10b","late",2,1,0,-1.09107531487555,"late","EXP10b","late"
"68","4f00adbe6ea08f7e8f76291d0ede24727cfda3061512742b6a355648e53e0cf5","4f00a","EXP10b","ontime",6,0,0,0.654645188925333,"ontime","EXP10b","ontime"
