subject,Early.Shortdelay,Ontime.Shortdelay,Late.Shortdelay,Early.Mediumdelay,Ontime.Mediumdelay,Late.Mediumdelay,Early.Longdelay,Ontime.Longdelay,Late.Longdelay,Early ,Ontime,Late ,ShortDelay,MediumDelay,LongDelay
s13,0.833333333,0.513888889,0.277777778,0.375,0.541666667,0.486111111,0.430555556,0.472222222,0.555555556,0.546296296,0.509259259,0.439814815,0.541666667,0.467592593,0.486111111
s14,0.597222222,0.513888889,0.486111111,0.513888889,0.541666667,0.486111111,0.458333333,0.458333333,0.513888889,0.523148148,0.50462963,0.49537037,0.532407407,0.513888889,0.476851852
s15,0.875,0.638888889,0.305555556,0.541666667,0.416666667,0.458333333,0.388888889,0.402777778,0.458333333,0.601851852,0.486111111,0.407407407,0.606481481,0.472222222,0.416666667
s16,0.791666667,0.430555556,0.402777778,0.5,0.444444444,0.319444444,0.388888889,0.416666667,0.444444444,0.560185185,0.430555556,0.388888889,0.541666667,0.421296296,0.416666667
s17,0.722222222,0.444444444,0.375,0.5,0.583333333,0.638888889,0.541666667,0.527777778,0.583333333,0.587962963,0.518518519,0.532407407,0.513888889,0.574074074,0.550925926
s18,0.861111111,0.430555556,0.166666667,0.541666667,0.583333333,0.430555556,0.444444444,0.388888889,0.458333333,0.615740741,0.467592593,0.351851852,0.486111111,0.518518519,0.430555556
s19,0.597222222,0.361111111,0.305555556,0.541666667,0.388888889,0.486111111,0.527777778,0.527777778,0.555555556,0.555555556,0.425925926,0.449074074,0.421296296,0.472222222,0.537037037
s20,0.888888889,0.277777778,0.305555556,0.458333333,0.541666667,0.430555556,0.569444444,0.444444444,0.430555556,0.638888889,0.421296296,0.388888889,0.490740741,0.476851852,0.481481481
s21,0.833333333,0.513888889,0.416666667,0.555555556,0.5,0.444444444,0.597222222,0.611111111,0.486111111,0.662037037,0.541666667,0.449074074,0.587962963,0.5,0.564814815
s22,0.930555556,0.444444444,0.166666667,0.486111111,0.583333333,0.472222222,0.513888889,0.472222222,0.472222222,0.643518519,0.5,0.37037037,0.513888889,0.513888889,0.486111111
s23,0.583333333,0.333333333,0.152777778,0.361111111,0.402777778,0.333333333,0.472222222,0.402777778,0.458333333,0.472222222,0.37962963,0.314814815,0.356481481,0.365740741,0.444444444
s24,0.847222222,0.305555556,0.291666667,0.611111111,0.597222222,0.472222222,0.527777778,0.430555556,0.458333333,0.662037037,0.444444444,0.407407407,0.481481481,0.560185185,0.472222222
s25,0.875,0.444444444,0.194444444,0.597222222,0.472222222,0.444444444,0.305555556,0.375,0.347222222,0.592592593,0.430555556,0.328703704,0.50462963,0.50462963,0.342592593
s26,0.694444444,0.361111111,0.402777778,0.513888889,0.472222222,0.486111111,0.430555556,0.416666667,0.402777778,0.546296296,0.416666667,0.430555556,0.486111111,0.490740741,0.416666667
s27,0.75,0.347222222,0.152777778,0.541666667,0.486111111,0.472222222,0.402777778,0.375,0.388888889,0.564814815,0.402777778,0.337962963,0.416666667,0.5,0.388888889
s28,0.736111111,0.388888889,0.388888889,0.263888889,0.319444444,0.263888889,0.458333333,0.402777778,0.333333333,0.486111111,0.37037037,0.328703704,0.50462963,0.282407407,0.398148148
s29,0.875,0.513888889,0.277777778,0.611111111,0.472222222,0.472222222,0.555555556,0.569444444,0.458333333,0.680555556,0.518518519,0.402777778,0.555555556,0.518518519,0.527777778
s30,0.833333333,0.486111111,0.388888889,0.569444444,0.527777778,0.555555556,0.527777778,0.486111111,0.458333333,0.643518519,0.5,0.467592593,0.569444444,0.550925926,0.490740741
s31,0.805555556,0.694444444,0.652777778,0.625,0.583333333,0.472222222,0.486111111,0.583333333,0.5,0.638888889,0.62037037,0.541666667,0.717592593,0.560185185,0.523148148
s32,0.833333333,0.555555556,0.513888889,0.541666667,0.541666667,0.5,0.513888889,0.555555556,0.583333333,0.62962963,0.550925926,0.532407407,0.634259259,0.527777778,0.550925926
s33,0.833333333,0.5,0.347222222,0.541666667,0.458333333,0.472222222,0.513888889,0.472222222,0.486111111,0.62962963,0.476851852,0.435185185,0.560185185,0.490740741,0.490740741
