branch_failpass,expt_id,group_id,network_error_repeat,participant_id,participation_duration,response_correct,response_mode,response_name,response_rt,response_target,response_type,response_value,session_id,session_start_time,stimuli_presented,trial_duration,trial_num,trial_template
pass,6345b7f49677d36bd07c5a10,EXP8c_FJ,0,2ab1f3c00a463a452d042a457c55214abd7f82feac1b545f6dcc94d6affdb2c1,2407.6178839206696,False,keypress,EXP8c_testRsp,563,[],choice-response,Lab,6347bd0363630e047ced3758,2022-10-13 03:23:47-04:00,long_tone_8,1848,33,EXP8c_PretestTrials_l
pass,6345b7f49677d36bd07c5a10,EXP8c_FJ,0,2ab1f3c00a463a452d042a457c55214abd7f82feac1b545f6dcc94d6affdb2c1,2407.6178839206696,False,keypress,EXP8c_testRsp,529,[],choice-response,Lab,6347bd0363630e047ced3758,2022-10-13 03:23:47-04:00,long_tone_8,1804,34,EXP8c_PretestTrials_l
pass,6345b7f49677d36bd07c5a10,EXP8c_FJ,0,2ab1f3c00a463a452d042a457c55214abd7f82feac1b545f6dcc94d6affdb2c1,2407.6178839206696,False,keypress,EXP8c_testRsp,278,[],choice-response,Lap,6347bd0363630e047ced3758,2022-10-13 03:23:47-04:00,short_tone_1,1387,35,EXP8c_PretestTrials_s
pass,6345b7f49677d36bd07c5a10,EXP8c_FJ,0,2ab1f3c00a463a452d042a457c55214abd7f82feac1b545f6dcc94d6affdb2c1,2407.6178839206696,False,keypress,EXP8c_testRsp,486,[],choice-response,Lab,6347bd0363630e047ced3758,2022-10-13 03:23:47-04:00,long_tone_8,2598,36,EXP8c_PretestTrials_l
pass,6345b7f49677d36bd07c5a10,EXP8c_FJ,0,2ab1f3c00a463a452d042a457c55214abd7f82feac1b545f6dcc94d6affdb2c1,2407.6178839206696,False,keypress,EXP8c_testRsp,400,[],choice-response,Lap,6347bd0363630e047ced3758,2022-10-13 03:23:47-04:00,short_tone_1,1628,37,EXP8c_PretestTrials_s
pass,6345b7f49677d36bd07c5a10,EXP8c_FJ,0,2ab1f3c00a463a452d042a457c55214abd7f82feac1b545f6dcc94d6affdb2c1,2407.6178839206696,False,keypress,EXP8c_testRsp,457,[],choice-response,Lab,6347bd0363630e047ced3758,2022-10-13 03:23:47-04:00,long_tone_8,1739,38,EXP8c_PretestTrials_l
pass,6345b7f49677d36bd07c5a10,EXP8c_FJ,0,2ab1f3c00a463a452d042a457c55214abd7f82feac1b545f6dcc94d6affdb2c1,2407.6178839206696,False,keypress,EXP8c_testRsp,368,[],choice-response,Lap,6347bd0363630e047ced3758,2022-10-13 03:23:47-04:00,short_tone_1,2084,39,EXP8c_PretestTrials_s
pass,6345b7f49677d36bd07c5a10,EXP8c_FJ,0,2ab1f3c00a463a452d042a457c55214abd7f82feac1b545f6dcc94d6affdb2c1,2407.6178839206696,False,keypress,EXP8c_testRsp,534,[],choice-response,Lap,6347bd0363630e047ced3758,2022-10-13 03:23:47-04:00,short_tone_1,1634,40,EXP8c_PretestTrials_s
pass,6345b7f49677d36bd07c5a10,EXP8c_FJ,0,2ab1f3c00a463a452d042a457c55214abd7f82feac1b545f6dcc94d6affdb2c1,2407.6178839206696,False,keypress,EXP8c_testRsp,448,[],choice-response,Lab,6347bd0363630e047ced3758,2022-10-13 03:23:47-04:00,long_tone_8,1798,41,EXP8c_PretestTrials_l
pass,6345b7f49677d36bd07c5a10,EXP8c_FJ,0,2ab1f3c00a463a452d042a457c55214abd7f82feac1b545f6dcc94d6affdb2c1,2407.6178839206696,False,keypress,EXP8c_testRsp,403,[],choice-response,Lap,6347bd0363630e047ced3758,2022-10-13 03:23:47-04:00,short_tone_1,1516,42,EXP8c_PretestTrials_s
pass,6345b7f49677d36bd07c5a10,EXP8c_FJ,0,2ab1f3c00a463a452d042a457c55214abd7f82feac1b545f6dcc94d6affdb2c1,2407.6178839206696,False,keypress,EXP8c_testRsp,985,[],choice-response,Lab,6347bd0363630e047ced3758,2022-10-13 03:23:47-04:00,long_tone_8,7528,43,EXP8c_PretestTrials_l
pass,6345b7f49677d36bd07c5a10,EXP8c_FJ,0,2ab1f3c00a463a452d042a457c55214abd7f82feac1b545f6dcc94d6affdb2c1,2407.6178839206696,False,keypress,EXP8c_testRsp,461,[],choice-response,Lap,6347bd0363630e047ced3758,2022-10-13 03:23:47-04:00,long_tone_8,1733,44,EXP8c_PretestTrials_l
pass,6345b7f49677d36bd07c5a10,EXP8c_FJ,0,2ab1f3c00a463a452d042a457c55214abd7f82feac1b545f6dcc94d6affdb2c1,2407.6178839206696,False,keypress,EXP8c_testRsp,300,[],choice-response,Lap,6347bd0363630e047ced3758,2022-10-13 03:23:47-04:00,short_tone_1,1424,45,EXP8c_PretestTrials_s
pass,6345b7f49677d36bd07c5a10,EXP8c_FJ,0,2ab1f3c00a463a452d042a457c55214abd7f82feac1b545f6dcc94d6affdb2c1,2407.6178839206696,False,keypress,EXP8c_testRsp,533,[],choice-response,Lab,6347bd0363630e047ced3758,2022-10-13 03:23:47-04:00,long_tone_8,1813,46,EXP8c_PretestTrials_l
pass,6345b7f49677d36bd07c5a10,EXP8c_FJ,0,2ab1f3c00a463a452d042a457c55214abd7f82feac1b545f6dcc94d6affdb2c1,2407.6178839206696,False,keypress,EXP8c_testRsp,449,[],choice-response,Lap,6347bd0363630e047ced3758,2022-10-13 03:23:47-04:00,short_tone_1,5093,47,EXP8c_PretestTrials_s
pass,6345b7f49677d36bd07c5a10,EXP8c_FJ,0,2ab1f3c00a463a452d042a457c55214abd7f82feac1b545f6dcc94d6affdb2c1,2407.6178839206696,False,keypress,EXP8c_testRsp,376,[],choice-response,Lap,6347bd0363630e047ced3758,2022-10-13 03:23:47-04:00,long_tone_8,1658,48,EXP8c_PretestTrials_l
pass,6345b7f49677d36bd07c5a10,EXP8c_FJ,0,2ab1f3c00a463a452d042a457c55214abd7f82feac1b545f6dcc94d6affdb2c1,2407.6178839206696,False,keypress,EXP8c_testRsp,400,[],choice-response,Lap,6347bd0363630e047ced3758,2022-10-13 03:23:47-04:00,short_tone_1,1516,49,EXP8c_PretestTrials_s
pass,6345b7f49677d36bd07c5a10,EXP8c_FJ,0,2ab1f3c00a463a452d042a457c55214abd7f82feac1b545f6dcc94d6affdb2c1,2407.6178839206696,False,keypress,EXP8c_testRsp,549,[],choice-response,Lab,6347bd0363630e047ced3758,2022-10-13 03:23:47-04:00,long_tone_8,1841,50,EXP8c_PretestTrials_l
pass,6345b7f49677d36bd07c5a10,EXP8c_FJ,0,2ab1f3c00a463a452d042a457c55214abd7f82feac1b545f6dcc94d6affdb2c1,2407.6178839206696,False,keypress,EXP8c_testRsp,390,[],choice-response,Lab,6347bd0363630e047ced3758,2022-10-13 03:23:47-04:00,short_tone_1,1501,51,EXP8c_PretestTrials_s
pass,6345b7f49677d36bd07c5a10,EXP8c_FJ,0,2ab1f3c00a463a452d042a457c55214abd7f82feac1b545f6dcc94d6affdb2c1,2407.6178839206696,False,keypress,EXP8c_testRsp,136,[],choice-response,Lap,6347bd0363630e047ced3758,2022-10-13 03:23:47-04:00,long_tone_8,1408,52,EXP8c_PretestTrials_l
pass,6345b7f49677d36bd07c5a10,EXP8c_FJ,0,2ab1f3c00a463a452d042a457c55214abd7f82feac1b545f6dcc94d6affdb2c1,2407.6178839206696,False,keypress,EXP8c_testRsp,168,[],choice-response,Lap,6347bd0363630e047ced3758,2022-10-13 03:23:47-04:00,short_tone_1,1264,53,EXP8c_PretestTrials_s
pass,6345b7f49677d36bd07c5a10,EXP8c_FJ,0,2ab1f3c00a463a452d042a457c55214abd7f82feac1b545f6dcc94d6affdb2c1,2407.6178839206696,False,keypress,EXP8c_testRsp,50,[],choice-response,Lap,6347bd0363630e047ced3758,2022-10-13 03:23:47-04:00,long_tone_8,1334,54,EXP8c_PretestTrials_l
pass,6345b7f49677d36bd07c5a10,EXP8c_FJ,0,2ab1f3c00a463a452d042a457c55214abd7f82feac1b545f6dcc94d6affdb2c1,2407.6178839206696,False,keypress,EXP8c_testRsp,158,[],choice-response,Lap,6347bd0363630e047ced3758,2022-10-13 03:23:47-04:00,short_tone_1,1272,55,EXP8c_PretestTrials_s
pass,6345b7f49677d36bd07c5a10,EXP8c_FJ,0,2ab1f3c00a463a452d042a457c55214abd7f82feac1b545f6dcc94d6affdb2c1,2407.6178839206696,False,keypress,EXP8c_testRsp,102,[],choice-response,Lap,6347bd0363630e047ced3758,2022-10-13 03:23:47-04:00,long_tone_8,1401,56,EXP8c_PretestTrials_l
pass,6345b7f49677d36bd07c5a10,EXP8c_FJ,0,2ab1f3c00a463a452d042a457c55214abd7f82feac1b545f6dcc94d6affdb2c1,2407.6178839206696,False,keypress,EXP8c_testRsp,167,[],choice-response,Lap,6347bd0363630e047ced3758,2022-10-13 03:23:47-04:00,short_tone_1,1271,57,EXP8c_PretestTrials_s
pass,6345b7f49677d36bd07c5a10,EXP8c_FJ,0,2ab1f3c00a463a452d042a457c55214abd7f82feac1b545f6dcc94d6affdb2c1,2407.6178839206696,False,keypress,EXP8c_testRsp,206,[],choice-response,Lap,6347bd0363630e047ced3758,2022-10-13 03:23:47-04:00,long_tone_8,1520,58,EXP8c_PretestTrials_l
pass,6345b7f49677d36bd07c5a10,EXP8c_FJ,0,2ab1f3c00a463a452d042a457c55214abd7f82feac1b545f6dcc94d6affdb2c1,2407.6178839206696,False,keypress,EXP8c_testRsp,312,[],choice-response,Lap,6347bd0363630e047ced3758,2022-10-13 03:23:47-04:00,short_tone_1,1442,59,EXP8c_PretestTrials_s
pass,6345b7f49677d36bd07c5a10,EXP8c_FJ,0,2ab1f3c00a463a452d042a457c55214abd7f82feac1b545f6dcc94d6affdb2c1,2407.6178839206696,False,keypress,EXP8c_testRsp,83,[],choice-response,Lap,6347bd0363630e047ced3758,2022-10-13 03:23:47-04:00,long_tone_8,1387,60,EXP8c_PretestTrials_l
pass,6345b7f49677d36bd07c5a10,EXP8c_FJ,0,2ab1f3c00a463a452d042a457c55214abd7f82feac1b545f6dcc94d6affdb2c1,2407.6178839206696,False,keypress,EXP8c_testRsp,154,[],choice-response,Lap,6347bd0363630e047ced3758,2022-10-13 03:23:47-04:00,short_tone_1,1282,61,EXP8c_PretestTrials_s
pass,6345b7f49677d36bd07c5a10,EXP8c_FJ,0,2ab1f3c00a463a452d042a457c55214abd7f82feac1b545f6dcc94d6affdb2c1,2407.6178839206696,False,keypress,EXP8c_testRsp,77,[],choice-response,Lap,6347bd0363630e047ced3758,2022-10-13 03:23:47-04:00,long_tone_8,1377,62,EXP8c_PretestTrials_l
